Year,Month,Day,Timeline,Passengers,Morning Commute,Evening Commute,Late Night,Annual seasonal outiler,Lotte World,Lotte World Mall,Day_Friday,Day_Thursday,Day_Wednesday,Day_Monday,Day_Sunday,Day_Saturday,Day_Tuesday,Day_Holiday
2025,8,1,11,8547,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2025,8,1,12,12131,0,1,0,0,1,1,0,0,0,0,0,0,1,0
2025,8,1,13,18436,0,1,0,0,1,1,0,0,0,0,0,0,1,0
2025,8,1,14,11755,0,1,0,0,1,1,0,0,0,0,0,0,1,0
2025,8,1,15,8766,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2025,8,1,16,7421,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2025,8,1,17,5646,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025,8,1,18,2102,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2025,8,1,19,464,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2025,8,2,0,627,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2025,8,2,1,2948,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025,8,2,2,8156,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2025,8,2,3,14698,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2025,8,2,4,10753,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2025,8,2,5,6473,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2025,8,2,6,6193,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2025,8,2,7,6474,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2025,8,2,8,6661,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2025,8,2,9,6192,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2025,8,2,10,7683,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2025,8,2,11,8617,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2025,8,2,12,12775,0,1,0,0,1,1,0,0,1,0,0,0,0,0
2025,8,2,13,18689,0,1,0,0,1,1,0,0,1,0,0,0,0,0
